Bottle,Capacity,Orientation,H_Center,V_Center,Defects,Timestamp
1,300,PASS,PASS,PASS,None,09:54:02
2,Not detected,PASS,FAIL,PASS,None,09:54:03
3,Not detected,PASS,PASS,PASS,None,09:54:09
4,Not detected,PASS,FAIL,PASS,None,09:54:11
5,Not detected,PASS,PASS,PASS,None,09:54:12
5,100,PASS,PASS,PASS,None,09:54:12
6,100,PASS,PASS,PASS,None,09:54:18
7,Not detected,PASS,PASS,PASS,None,09:54:23
8,Not detected,PASS,FAIL,PASS,None,09:54:25
9,Not detected,PASS,PASS,PASS,None,09:54:26
9,100,PASS,PASS,PASS,None,09:54:27
10,Not detected,PASS,FAIL,PASS,None,09:54:30
10,100,PASS,PASS,PASS,None,09:54:30
11,Not detected,PASS,PASS,PASS,None,09:54:31
12,Not detected,PASS,PASS,PASS,None,09:54:32
12,100,PASS,PASS,PASS,None,09:54:39
13,Not detected,PASS,FAIL,PASS,None,09:54:41
14,Not detected,PASS,PASS,PASS,None,09:54:43
15,Not detected,PASS,PASS,PASS,None,09:54:46
