Bottle,Capacity,Orientation,H_Center,V_Center,Defects,Timestamp
1,Not detected,,0.281 (FAIL),0.103 (FAIL),None,15:15:08
1,500,3.253 deg (PASS),0.091 (PASS),0.012 (PASS),None,15:15:08
2,Not detected,7.579 deg (PASS),0.070 (PASS),0.020 (PASS),None,15:15:11
3,Not detected,2.922 deg (PASS),0.125 (PASS),0.010 (PASS),None,15:15:15
3,500,4.558 deg (PASS),0.024 (PASS),0.006 (PASS),None,15:15:16
4,Not detected,7.633 deg (PASS),0.073 (PASS),0.012 (PASS),None,15:15:18
5,Not detected,,0.289 (FAIL),0.096 (FAIL),None,15:15:25
5,500,3.333 deg (PASS),0.105 (PASS),0.013 (PASS),None,15:15:25
4,500,4.507 deg (PASS),0.429 (FAIL),0.077 (FAIL),None,15:15:27
6,Not detected,7.733 deg (PASS),0.057 (PASS),0.017 (PASS),None,15:15:27
7,500,,0.215 (FAIL),0.052 (PASS),None,15:15:37
8,Not detected,7.615 deg (PASS),0.052 (PASS),0.010 (PASS),None,15:15:39
9,Not detected,,0.330 (FAIL),0.103 (FAIL),None,15:15:45
9,500,3.232 deg (PASS),0.108 (PASS),0.001 (PASS),None,15:15:45
8,500,5.549 deg (PASS),0.133 (PASS),0.022 (PASS),None,15:15:47
10,Not detected,7.584 deg (PASS),0.057 (PASS),0.010 (PASS),None,15:15:48
11,Not detected,2.919 deg (PASS),0.127 (PASS),0.010 (PASS),None,15:15:52
12,Not detected,7.902 deg (PASS),0.070 (PASS),0.018 (PASS),None,15:15:55
13,500,2.933 deg (PASS),0.127 (PASS),0.008 (PASS),None,15:16:09
12,500,5.192 deg (PASS),0.401 (FAIL),0.075 (FAIL),None,15:16:11
14,Not detected,7.829 deg (PASS),0.073 (PASS),0.016 (PASS),None,15:16:12
15,500,,0.221 (FAIL),0.062 (FAIL),None,15:16:15
16,Not detected,7.280 deg (PASS),0.076 (PASS),0.009 (PASS),None,15:16:18
17,500,,0.178 (FAIL),0.046 (PASS),None,15:16:21
18,Not detected,7.880 deg (PASS),0.068 (PASS),0.016 (PASS),None,15:16:24
19,Not detected,2.649 deg (PASS),0.154 (FAIL),0.010 (PASS),None,15:16:27
19,500,3.149 deg (PASS),0.104 (PASS),0.001 (PASS),None,15:16:28
